sku,name,price,aisle,,
57860,SECCO STRAWBERRY AND RASPBERRY ROSSINI,$5.99,WINE,,
68954,CABELLI PROSECCO EXTRA DRY,$7.99,WINE,,
70152,CECILIA BERETTA PROSECCO ROSE,$10.99,WINE,,
98098,CECILIA BERETTA PROSECCO SUPERIORE DOCG,$11.99,WINE,,
45522,MARTELLOZZO PROSECCO,$8.99,WINE,,
76177,MEDICI LAMBRUSCO REGGIANO,$5.99,WINE,,
98097,PROSECCO DOC CECILIA BERETTA TREVISO,$9.99,WINE,,
96954,SECCO FRIZZANTE SPARKLING IT,$5.99,WINE,,
67552,SIMPLER WINES MANGO 4PK 250ML,4 FOR $6.99,WINE,,
66280,SIMPLER WINES PEACH 4PK 250ML,4 FOR $6.99,WINE,,
66282,SIMPLER WINES ROSE 4PK 250ML,4 FOR $6.99,WINE,,
66281,SIMPLER WINES WHITE 4PK 250ML,4 FOR $6.99,WINE,,
95322,VILLA ALENA MOSCATO SWEET WINE,$8.99,WINE,,
53418,VILLA ALENA PEACH MOSCATO,$8.99,WINE,,
68523,ZONIN ROSATO SPUMANTE BRUT,$7.99,WINE,,
51348,LA GRANJA CAVA SPAIN,$7.99,WINE,,
40646,M CHEVALLIER BRUT CAVA,$6.99,WINE,,
73011,FREIXENET SPARKLING WHITE ALCOHOL REMOVED,$12.99,WINE,,
02893,BARON HERZOG KOSHER CAB,$12.99,WINE,,
27558,BOGLE CAB,$11.99,WINE,,
12111,CALLAWAY CAB,$5.99,WINE,,
75951,CAYMUS NAPA CAB,$79.99,WINE,,
28991,CHARLES KRUG CAB,$29.99,WINE,,
62697,CLOS DU VAL CAB,$54.99,WINE,,
01016,COPPOLA DIAMOND CLARET,$17.99,WINE,,
57018,DAOU CAB PASO,$24.99,WINE,,
55700,DECOY CAB SONOMA COUNTY,$21.99,WINE,,
57390,EDUCATED GUESS CAB NAPA,$21.99,WINE,,
91681,FRANK FAMILY VINEYARDS NAPA CAB,$54.99,WINE,,
57411,FREAKSHOW CAB,$17.99,WINE,,
77124,HERITANCE CABERNET SAUVIGNON,$39.99,WINE,,
73313,HESS NAPA ALLOMI ESTATE CAB,$39.99,WINE,,
39397,J LOHR CAB SEVEN OAKS,$16.99,WINE,,
52698,JOES GOTT CAB CALIFORNIA,$18.99,WINE,,
56557,JORDAN ALEXANDER VALLEY CAB,$65.99,WINE,,
92061,JOSEPH PHELPS NAPA CAB,$85.99,WINE,,
66978,JOSH CELLARS BOURBON BARREL AGED CAB,$19.99,WINE,,
98459,JOSH CELLARS CAB SONOMA,$15.99,WINE,,
63705,JUGGERNAUT CAB,$17.99,WINE,,
35252,JUSTIN CAB,$24.99,WINE,,
61428,LINE 39 CAB,$8.99,WINE,,
97916,PINE RIDGE NAPA CAB,$54.99,WINE,,
71419,PRISONER CABERNET SAUVIGNON 375ML,$17.99,WINE,,
61089,ROBERT MONDAVI PS BOURBON BARREL AGED CAB,$16.99,WINE,,
97586,RUTHERFORD RANCH CAB,$39.99,WINE,,
42150,ST SUPERY CAB,$49.99,WINE,,
85538,STAGS LEAP WC ARTEMIS CAB,$79.99,WINE,,
76268,STERLING NAPA CAB,$29.99,WINE,,
59275,THE FEDERALIST LODI CAB,$9.99,WINE,,
54456,ACROBAT PINOT NOIR,$16.99,WINE,,
57521,ANGELINE PINOT NOIR,$10.99,WINE,,
57337,ARGYLE PINOT NOIR,$21.99,WINE,,
66169,BOEN PINOT NOIR TRI APPELATION,$19.99,WINE,,
64546,BREAD AND BUTTER PINOT NOIR,$12.99,WINE,,
51885,DECOY PINOT NOIR,$21.99,WINE,,
57312,ERATH PINOT NOIR OREGON,$20.99,WINE,,
41277,FIRESTEED PINOT NOIR,$10.99,WINE,,
96085,GARY FARRELL RR PINOT NOIR,$41.99,WINE,,
76045,INSCRIPTION WILLAMETTE VALLEY PINOT NOIR,$19.99,WINE,,
58465,JOSH PINOT NOIR,$16.99,WINE,,
01377,LA CREMA PINOT NOIR SONOMA,$26.99,WINE,,
61881,LINE 39 PINOT NOIR,$10.99,WINE,,
78056,MACROSTIE SONOMA COAST PINOT NOIR,$27.99,WINE,,
52915,MEIOMI PINOT NOIR,$24.99,WINE,,
86770,PATZ AND HALL SONOMA PINOT NOIR,$39.99,WINE,,
67584,RAEBURN PINOT NOIR,$21.99,WINE,,
